record_type,run_id,started_utc,finished_utc,lo_edge_ms,hi_edge_ms,window_ms,no_seed,n_probes,pace_s,repeat,gap_db_write,gap_sse_handshake,gap_llm_round0,gap_mcp_read_document,gap_total_toctou_gap,delay_ms,http_code,outcome,leaked,duration_s,doc_id,error
summary,20260414_200634,2026-04-14T20:06:34.867845+00:00,2026-04-14T20:11:13.527784+00:00,10,1150,1140,false,28,5,3,9-14,9-18,790-2807,5-8,837-2855,,,,,,,
probe,20260414_200634,,,,,,,,,,,,,,,10,200,leak,true,5.823,463,
probe,20260414_200634,,,,,,,,,,,,,,,0,403,blocked,false,0.465,464,
probe,20260414_200634,,,,,,,,,,,,,,,20,200,leak,true,5.494,465,
probe,20260414_200634,,,,,,,,,,,,,,,40,200,leak,true,4.562,466,
probe,20260414_200634,,,,,,,,,,,,,,,80,200,leak,true,5.93,467,
probe,20260414_200634,,,,,,,,,,,,,,,160,200,leak,true,4.662,468,
probe,20260414_200634,,,,,,,,,,,,,,,320,200,leak,true,4.714,469,
probe,20260414_200634,,,,,,,,,,,,,,,640,200,leak,true,4.4,470,
probe,20260414_200634,,,,,,,,,,,,,,,1280,200,safe,false,4.511,471,
probe,20260414_200634,,,,,,,,,,,,,,,645,200,leak,true,8.528,472,
probe,20260414_200634,,,,,,,,,,,,,,,962,200,leak,true,4.777,473,
probe,20260414_200634,,,,,,,,,,,,,,,1121,200,leak,true,4.702,474,
probe,20260414_200634,,,,,,,,,,,,,,,1200,200,safe,false,4.203,475,
probe,20260414_200634,,,,,,,,,,,,,,,1160,200,safe,false,3.787,476,
probe,20260414_200634,,,,,,,,,,,,,,,1140,200,leak,true,4.312,477,
probe,20260414_200634,,,,,,,,,,,,,,,1150,200,leak,true,4.239,478,
probe,20260414_200634,,,,,,,,,,,,,,,0,403,blocked,false,0.429,479,
probe,20260414_200634,,,,,,,,,,,,,,,0,403,blocked,false,0.476,480,
probe,20260414_200634,,,,,,,,,,,,,,,0,200,leak,true,4.217,481,
probe,20260414_200634,,,,,,,,,,,,,,,10,403,blocked,false,0.437,482,
probe,20260414_200634,,,,,,,,,,,,,,,10,403,blocked,false,0.436,483,
probe,20260414_200634,,,,,,,,,,,,,,,10,200,leak,true,4.255,484,
probe,20260414_200634,,,,,,,,,,,,,,,580,200,leak,true,4.627,485,
probe,20260414_200634,,,,,,,,,,,,,,,580,200,leak,true,4.456,486,
probe,20260414_200634,,,,,,,,,,,,,,,580,200,leak,true,4.951,487,
probe,20260414_200634,,,,,,,,,,,,,,,1150,200,leak,true,6.115,488,
probe,20260414_200634,,,,,,,,,,,,,,,1150,200,safe,false,3.624,489,
probe,20260414_200634,,,,,,,,,,,,,,,1150,200,safe,false,3.819,490,
