delay_ms,trials,leaks,success_rate
0,10,2,0.2
50,10,10,1.0
100,10,10,1.0
200,10,10,1.0
500,10,0,0.0
1000,10,0,0.0
2000,10,0,0.0
4000,10,0,0.0
