attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
2,leak,01:08:45.600228,01:08:45.600228,01:08:45.600729,01:08:45.600729,01:08:45.601979,01:08:45.601979,01:08:45.603405,01:08:45.603405,01:08:45.613239,01:08:45.613260,01:08:45.627053,01:08:45.627053,01:08:45.632351,01:08:46.074643,01:08:46.080432,01:08:45.602632,01:08:45.602785,01:08:45.601458
2,safe,01:08:49.264502,01:08:49.264502,01:08:49.264882,01:08:49.264882,01:08:49.266076,01:08:49.266076,01:08:49.267548,01:08:49.267548,01:08:49.277991,01:08:49.278036,01:08:49.292335,01:08:49.292335,01:08:49.297765,01:08:49.735810,01:08:49.741527,01:08:49.267009,01:08:49.267110,01:08:49.265522
2,leak,01:08:54.605612,01:08:54.605612,01:08:54.605963,01:08:54.605963,01:08:54.607520,01:08:54.607520,01:08:54.610055,01:08:54.610055,01:08:54.619347,01:08:54.619369,01:08:54.630869,01:08:54.630869,01:08:54.636434,01:08:55.076729,01:08:55.081984,01:08:54.621043,01:08:54.621181,01:08:54.606655
2,safe,01:08:57.617054,01:08:57.617054,01:08:57.617447,01:08:57.617447,01:08:57.618680,01:08:57.618680,01:08:57.620102,01:08:57.620102,01:08:57.630072,01:08:57.630095,01:08:57.643665,01:08:57.643665,01:08:57.649314,01:08:58.086457,01:08:58.092393,01:08:57.619324,01:08:57.619427,01:08:57.618135
2,safe,01:09:02.816952,01:09:02.816952,01:09:02.817290,01:09:02.817290,01:09:02.818484,01:09:02.818484,01:09:02.820726,01:09:02.820726,01:09:02.829859,01:09:02.829882,01:09:02.840755,01:09:02.840755,01:09:02.846446,01:09:03.286621,01:09:03.292428,01:09:02.840909,01:09:02.841031,01:09:02.817932
2,leak,01:09:08.104479,01:09:08.104479,01:09:08.105073,01:09:08.105073,01:09:08.106975,01:09:08.106975,01:09:08.109771,01:09:08.109771,01:09:08.119572,01:09:08.119603,01:09:08.132728,01:09:08.132728,01:09:08.138117,01:09:08.577750,01:09:08.582885,01:09:08.107463,01:09:08.107572,01:09:08.106085
2,safe,01:09:11.137290,01:09:11.137290,01:09:11.137737,01:09:11.137737,01:09:11.139036,01:09:11.139036,01:09:11.140783,01:09:11.140783,01:09:11.150465,01:09:11.150502,01:09:11.164396,01:09:11.164396,01:09:11.170084,01:09:11.610101,01:09:11.615765,01:09:11.139738,01:09:11.139868,01:09:11.138485
2,leak,01:09:16.088876,01:09:16.088876,01:09:16.089338,01:09:16.089338,01:09:16.091134,01:09:16.091134,01:09:16.093180,01:09:16.093180,01:09:16.103609,01:09:16.103648,01:09:16.115560,01:09:16.115560,01:09:16.121716,01:09:16.563851,01:09:16.569443,01:09:16.091078,01:09:16.091245,01:09:16.090265
2,leak,01:09:19.638759,01:09:19.638759,01:09:19.639133,01:09:19.639133,01:09:19.640706,01:09:19.640706,01:09:19.642483,01:09:19.642483,01:09:19.652076,01:09:19.652108,01:09:19.672981,01:09:19.672981,01:09:19.678959,01:09:20.122094,01:09:20.127694,01:09:19.641458,01:09:19.641580,01:09:19.639885
4,leak,01:09:23.253923,01:09:23.253923,01:09:23.254329,01:09:23.254329,01:09:23.255586,01:09:23.255586,01:09:23.256972,01:09:23.256972,01:09:23.270621,01:09:23.270661,01:09:23.329190,01:09:23.329190,01:09:23.334824,01:09:23.771741,01:09:23.777811,01:09:23.258092,01:09:23.258177,01:09:23.255072
4,leak,01:09:26.833852,01:09:26.833852,01:09:26.834269,01:09:26.834269,01:09:26.835730,01:09:26.835730,01:09:26.837174,01:09:26.837174,01:09:26.853741,01:09:26.853767,01:09:26.868417,01:09:26.868417,01:09:26.874077,01:09:27.313911,01:09:27.320272,01:09:26.838271,01:09:26.838486,01:09:26.834935
4,leak,01:09:30.071414,01:09:30.071414,01:09:30.071755,01:09:30.071755,01:09:30.072875,01:09:30.072875,01:09:30.074608,01:09:30.074608,01:09:30.088943,01:09:30.088978,01:09:30.103560,01:09:30.103560,01:09:30.109058,01:09:30.547412,01:09:30.553075,01:09:30.076006,01:09:30.076123,01:09:30.072388
4,safe,01:09:33.314919,01:09:33.314919,01:09:33.315379,01:09:33.315379,01:09:33.316949,01:09:33.316949,01:09:33.318312,01:09:33.318312,01:09:33.332924,01:09:33.332962,01:09:33.347144,01:09:33.347144,01:09:33.353010,01:09:33.788835,01:09:33.794271,01:09:33.319483,01:09:33.319587,01:09:33.316150
4,leak,01:09:38.521234,01:09:38.521234,01:09:38.521824,01:09:38.521824,01:09:38.523224,01:09:38.523224,01:09:38.525609,01:09:38.525609,01:09:38.540236,01:09:38.540257,01:09:38.552576,01:09:38.552576,01:09:38.558616,01:09:39.000936,01:09:39.006459,01:09:38.526421,01:09:38.526528,01:09:38.522677
4,leak,01:09:43.155728,01:09:43.155728,01:09:43.156135,01:09:43.156135,01:09:43.157857,01:09:43.157857,01:09:43.159561,01:09:43.159561,01:09:43.169154,01:09:43.169178,01:09:43.182477,01:09:43.182477,01:09:43.188049,01:09:43.627577,01:09:43.633067,01:09:43.159921,01:09:43.160028,01:09:43.156938
4,leak,01:09:46.895220,01:09:46.895220,01:09:46.895651,01:09:46.895651,01:09:46.897197,01:09:46.897197,01:09:46.898840,01:09:46.898840,01:09:46.909057,01:09:46.909084,01:09:46.923016,01:09:46.923016,01:09:46.928974,01:09:47.366942,01:09:47.372336,01:09:46.899453,01:09:46.899556,01:09:46.896306
4,leak,01:09:50.526484,01:09:50.526484,01:09:50.527093,01:09:50.527093,01:09:50.528376,01:09:50.528376,01:09:50.530027,01:09:50.530027,01:09:50.539588,01:09:50.539611,01:09:50.553935,01:09:50.553935,01:09:50.560021,01:09:51.001315,01:09:51.007043,01:09:50.530488,01:09:50.530578,01:09:50.527865
4,safe,01:09:54.522158,01:09:54.522158,01:09:54.522607,01:09:54.522607,01:09:54.523854,01:09:54.523854,01:09:54.525356,01:09:54.525356,01:09:54.539049,01:09:54.539074,01:09:54.552946,01:09:54.552946,01:09:54.559179,01:09:54.999106,01:09:55.004367,01:09:54.526784,01:09:54.526919,01:09:54.523307
4,leak,01:09:59.681520,01:09:59.681520,01:09:59.681881,01:09:59.681881,01:09:59.683425,01:09:59.683425,01:09:59.686101,01:09:59.686101,01:09:59.695653,01:09:59.695673,01:09:59.707654,01:09:59.707654,01:09:59.713693,01:10:00.154188,01:10:00.160071,01:09:59.701795,01:09:59.701922,01:09:59.682574
