record_type,run_id,started_utc,finished_utc,lo_edge_ms,hi_edge_ms,window_ms,no_seed,n_probes,pace_s,repeat,gap_db_write,gap_sse_handshake,gap_llm_round0,gap_mcp_read_document,gap_total_toctou_gap,delay_ms,http_code,outcome,leaked,duration_s,doc_id,error
summary,20260414_202415,2026-04-14T20:24:15.130528+00:00,2026-04-14T20:29:39.833689+00:00,0,1094,1094,false,32,5,3,9-159,8-19,811-3058,5-6,913-3166,,,,,,,
probe,20260414_202415,,,,,,,,,,,,,,,10,403,blocked,false,0.57,528,
probe,20260414_202415,,,,,,,,,,,,,,,25,200,leak,true,4.064,529,
probe,20260414_202415,,,,,,,,,,,,,,,0,200,leak,true,4.262,530,
probe,20260414_202415,,,,,,,,,,,,,,,50,200,leak,true,4.767,531,
probe,20260414_202415,,,,,,,,,,,,,,,100,200,leak,true,4.276,532,
probe,20260414_202415,,,,,,,,,,,,,,,200,200,leak,true,4.233,533,
probe,20260414_202415,,,,,,,,,,,,,,,400,200,leak,true,5.886,534,
probe,20260414_202415,,,,,,,,,,,,,,,800,200,leak,true,4.291,535,
probe,20260414_202415,,,,,,,,,,,,,,,1600,200,safe,false,4.524,536,
probe,20260414_202415,,,,,,,,,,,,,,,812,200,leak,true,4.308,537,
probe,20260414_202415,,,,,,,,,,,,,,,1206,200,safe,false,4.076,538,
probe,20260414_202415,,,,,,,,,,,,,,,1009,200,leak,true,5.538,539,
probe,20260414_202415,,,,,,,,,,,,,,,1107,200,safe,false,4.017,540,
probe,20260414_202415,,,,,,,,,,,,,,,1058,200,leak,true,5.714,541,
probe,20260414_202415,,,,,,,,,,,,,,,1082,200,leak,true,4.573,542,
probe,20260414_202415,,,,,,,,,,,,,,,1094,200,leak,true,4.211,543,
probe,20260414_202415,,,,,,,,,,,,,,,1100,200,safe,false,3.898,544,
probe,20260414_202415,,,,,,,,,,,,,,,0,403,blocked,false,0.455,545,
probe,20260414_202415,,,,,,,,,,,,,,,0,200,leak,true,6.666,546,
probe,20260414_202415,,,,,,,,,,,,,,,0,403,blocked,false,0.443,547,
probe,20260414_202415,,,,,,,,,,,,,,,12,200,leak,true,4.026,548,
probe,20260414_202415,,,,,,,,,,,,,,,12,200,leak,true,3.862,549,
probe,20260414_202415,,,,,,,,,,,,,,,12,200,leak,true,5.186,550,
probe,20260414_202415,,,,,,,,,,,,,,,25,200,leak,true,4.557,551,
probe,20260414_202415,,,,,,,,,,,,,,,25,200,leak,true,4.202,552,
probe,20260414_202415,,,,,,,,,,,,,,,25,200,leak,true,6.528,553,
probe,20260414_202415,,,,,,,,,,,,,,,559,200,leak,true,4.393,554,
probe,20260414_202415,,,,,,,,,,,,,,,559,200,leak,true,5.232,555,
probe,20260414_202415,,,,,,,,,,,,,,,559,200,leak,true,4.085,556,
probe,20260414_202415,,,,,,,,,,,,,,,1094,200,leak,true,4.717,557,
probe,20260414_202415,,,,,,,,,,,,,,,1094,200,safe,false,3.693,558,
probe,20260414_202415,,,,,,,,,,,,,,,1094,200,safe,false,3.892,559,
