record_type,run_id,started_utc,finished_utc,lo_edge_ms,hi_edge_ms,window_ms,no_seed,n_probes,pace_s,repeat,gap_db_write,gap_sse_handshake,gap_llm_round0,gap_mcp_read_document,gap_total_toctou_gap,delay_ms,http_code,outcome,leaked,duration_s,doc_id,error
summary,20260414_194625,2026-04-14T19:46:25.049457+00:00,2026-04-14T19:50:22.633455+00:00,10,472,462,false,26,5,3,10-63,8-19,414-5393,6-10,463-5453,,,,,,,
probe,20260414_194625,,,,,,,,,,,,,,,10,200,leak,true,9.974,376,
probe,20260414_194625,,,,,,,,,,,,,,,0,403,blocked,false,0.451,377,
probe,20260414_194625,,,,,,,,,,,,,,,20,200,leak,true,2.547,378,
probe,20260414_194625,,,,,,,,,,,,,,,40,200,leak,true,4.306,379,
probe,20260414_194625,,,,,,,,,,,,,,,80,200,leak,true,4.303,380,
probe,20260414_194625,,,,,,,,,,,,,,,160,200,leak,true,2.527,381,
probe,20260414_194625,,,,,,,,,,,,,,,320,200,leak,true,2.197,382,
probe,20260414_194625,,,,,,,,,,,,,,,640,200,safe,false,1.845,383,
probe,20260414_194625,,,,,,,,,,,,,,,325,200,leak,true,4.305,384,
probe,20260414_194625,,,,,,,,,,,,,,,482,200,safe,false,1.831,385,
probe,20260414_194625,,,,,,,,,,,,,,,403,200,leak,true,4.28,386,
probe,20260414_194625,,,,,,,,,,,,,,,442,200,leak,true,2.504,387,
probe,20260414_194625,,,,,,,,,,,,,,,462,200,leak,true,2.512,388,
probe,20260414_194625,,,,,,,,,,,,,,,472,200,leak,true,4.322,389,
probe,20260414_194625,,,,,,,,,,,,,,,0,403,blocked,false,0.441,390,
probe,20260414_194625,,,,,,,,,,,,,,,0,403,blocked,false,0.449,391,
probe,20260414_194625,,,,,,,,,,,,,,,0,403,blocked,false,0.458,392,
probe,20260414_194625,,,,,,,,,,,,,,,10,200,leak,true,4.313,393,
probe,20260414_194625,,,,,,,,,,,,,,,10,403,blocked,false,0.464,394,
probe,20260414_194625,,,,,,,,,,,,,,,10,200,leak,true,4.475,395,
probe,20260414_194625,,,,,,,,,,,,,,,241,200,leak,true,4.523,396,
probe,20260414_194625,,,,,,,,,,,,,,,241,200,leak,true,4.53,397,
probe,20260414_194625,,,,,,,,,,,,,,,241,200,leak,true,4.523,398,
probe,20260414_194625,,,,,,,,,,,,,,,472,200,leak,true,2.613,399,
probe,20260414_194625,,,,,,,,,,,,,,,472,200,leak,true,4.537,400,
probe,20260414_194625,,,,,,,,,,,,,,,472,200,leak,true,4.476,401,
