record_type,run_id,started_utc,finished_utc,lo_edge_ms,hi_edge_ms,window_ms,no_seed,n_probes,pace_s,repeat,gap_db_write,gap_sse_handshake,gap_llm_round0,gap_mcp_read_document,gap_total_toctou_gap,delay_ms,http_code,outcome,leaked,duration_s,doc_id,error
summary,20260414_195058,2026-04-14T19:50:58.702765+00:00,2026-04-14T19:54:47.821822+00:00,10,472,462,false,26,5,3,9-15,8-19,415-426,6-7,463-479,,,,,,,
probe,20260414_195058,,,,,,,,,,,,,,,10,200,leak,true,4.464,402,
probe,20260414_195058,,,,,,,,,,,,,,,0,403,blocked,false,0.459,403,
probe,20260414_195058,,,,,,,,,,,,,,,20,200,leak,true,4.352,404,
probe,20260414_195058,,,,,,,,,,,,,,,40,200,leak,true,2.553,405,
probe,20260414_195058,,,,,,,,,,,,,,,80,200,leak,true,2.573,406,
probe,20260414_195058,,,,,,,,,,,,,,,160,200,leak,true,2.535,407,
probe,20260414_195058,,,,,,,,,,,,,,,320,200,leak,true,4.444,408,
probe,20260414_195058,,,,,,,,,,,,,,,640,200,safe,false,1.943,409,
probe,20260414_195058,,,,,,,,,,,,,,,325,200,leak,true,4.332,410,
probe,20260414_195058,,,,,,,,,,,,,,,482,200,safe,false,2.007,411,
probe,20260414_195058,,,,,,,,,,,,,,,403,200,leak,true,4.339,412,
probe,20260414_195058,,,,,,,,,,,,,,,442,200,leak,true,2.534,413,
probe,20260414_195058,,,,,,,,,,,,,,,462,200,leak,true,4.379,414,
probe,20260414_195058,,,,,,,,,,,,,,,472,200,leak,true,2.532,415,
probe,20260414_195058,,,,,,,,,,,,,,,0,403,blocked,false,0.52,416,
probe,20260414_195058,,,,,,,,,,,,,,,0,403,blocked,false,0.519,417,
probe,20260414_195058,,,,,,,,,,,,,,,0,403,blocked,false,0.518,418,
probe,20260414_195058,,,,,,,,,,,,,,,10,200,leak,true,2.618,419,
probe,20260414_195058,,,,,,,,,,,,,,,10,403,blocked,false,0.552,420,
probe,20260414_195058,,,,,,,,,,,,,,,10,200,leak,true,4.439,421,
probe,20260414_195058,,,,,,,,,,,,,,,241,200,leak,true,4.323,422,
probe,20260414_195058,,,,,,,,,,,,,,,241,200,leak,true,4.322,423,
probe,20260414_195058,,,,,,,,,,,,,,,241,200,leak,true,2.626,424,
probe,20260414_195058,,,,,,,,,,,,,,,472,200,leak,true,4.321,425,
probe,20260414_195058,,,,,,,,,,,,,,,472,200,leak,true,2.532,426,
probe,20260414_195058,,,,,,,,,,,,,,,472,200,leak,true,4.327,427,
